id,name,name_en,img_src,evaluation,looks,smell,taste,throat,total,style,ABV,IBU,brewery,description,brewery_id,style_id
98,志賀高原 マサジ ザ グレート W-IBA,SHIGAKOGEN MASAJI THE GREAT W-IBA,http://www.beer365.net/cache/aa319b168f88b3c338722511ce933beb.jpg,2.73,4,4,4,3,4,ブラックIPA・インディアブラック(エール),9.50%,105,株式会社玉村本店(長野県),"箕面ビールの故大下社長を追悼するMasaji Beer Projectに参加している志賀高原ビールの追悼商品。

箕面ビールといえば、スタウト、インペリアルスタウトの黒い二種、そしてW-IPAの印象が強烈。
なら、両方いっぺんにつくっちゃえ、ってことで、黒いW-IPAに。
他にもいくつかアイディアはあったのですが、""W-IBA""って名前が浮かんだら、もうそれしか考えられなくなっちゃいました。
ぼくららしいスタイルでもあるかなと。
「格好よくて強面で、一見ちょっと近寄りがたい。でも、話してみると、その人柄にいっぺんに魅了されちゃう。」
そんな大下社長のイメージそのままの、男前なビールになったのではと勝手に思ってます。
アルコール度数は9%！
黒いです。でも、飲んでみるとホップの圧倒的な香りと爽快な苦み、ドライな飲み口で、すいすい飲めちゃう。
先日発売の IBA の兄貴分というわけですが、はっきり、しっかり「兄貴」です。
一度飲んだら、社長の虜！？
9%の黒というと、志賀高原ビールにはあの「たかしくん」というビールがあるのですが、もちろんそれにも負けない強力な個性で、かつ、はっきり性格が違います。
(オフィシャルブログより)",279,37
99,やまぐち鳴滝高原 ヴァイツェン,YAMAGUCHI NARUTAKI KOGEN WEIZEN,http://www.beer365.net/cache/526714c1766a7f607d4415c1ff5d665d.jpg,2.72,3.5,3.5,4,4,4,ヴァイツェン・ヴァイス(エール),5%,,やまぐち鳴滝高原ブルワリー(山口県),小麦を贅沢に使用したビール。口の中に広がるフルーティーな香りと程よい苦味が調和した芳醇な味わいのビールです。,191,45
100,スプリング バレー アフターダーク,SPRING VALLEY AFTERDARK,http://www.beer365.net/cache/03c07e88ee76fb810e943ecd7caab216.png,2.72,3.5,3.5,4,4,4,,,,スプリングバレーブルワリー(東京都),濃厚なのに飲みやすい、常識外れの濃色ビール。ロースト感や渋みを抑えた、柔らかな甘味と上質な苦味が楽しめる、香ばしくクリーミーな飲み心地。,130,
101,ベアード ばかやろー! エール,BAIRD BAKAYARO! ALE,http://www.beer365.net/cache/7a38c3268feea30763feba6bf0b4da85.png,2.72,3.5,4,4,3,4,,9%,90,BAIRD BREWING(静岡県),"この横柄なビールのコンセプトと名前は、元ホームブルワーで現ブルワリーオペレーションディレク ターのクリス・プール(Chris Poel)が考案したものだ。このビールは痛いほどホッピーで、危険な程強い。 ボディを重くせずアルコール度数だけを上げるために、国産の赤糖を多く使用している。煮沸時には 大胆なフレーバーの 5 種類のアメリカ産ホップを贅沢に投入し、同様に 5 種類を主発酵後ドライホッ プとしてその倍の量を惜しみなく投入した。充填時には、さらに複雑なフレーバーを追求し、いきい きとしてソフトな自然発泡性も促すため、クロイズンという伝統的な製法を用いた。
(オフィシャルサイトより)",222,
102,サンクトガーレン 湘南ゴールド,SANKTGALLEN SHONAN GOLD,http://www.beer365.net/cache/6a3de505ef2790ff3b775ad192a14d84.jpg,2.71,3.5,4,3.2,3.8,3.8,フルーツ・ベジタブル(ハイブリッド),4.80%,18,サンクトガーレン有限会社(神奈川県),"湘南ゴールドは、神奈川県が12年をかけて開発したオレンジで、未だ県内でも入手困難な稀少品。皮がレモンのように黄色で、中身はオレンジ。他のオレンジ類を圧倒する華やかな香りを持っていて“まるで香水のよう”と言われるほど。
その香りが醸造担当者の目、ならぬ鼻に留まりこのビールが誕生しました。華やかな香りを最大限ビールに活かすため、果汁だけではなく皮も実も丸ごと果実を使用。
アロマホップも柑橘系の香りが特徴のものを使用し、グラスに注いだ瞬間から飲み終えた後のゲップまで、とことんオレンジです。瑞々しくジューシーな風味が口中に広がり、後味には柑橘の皮特有のマーマレードのような苦味を感じます。
2008-2010、2012年　インターナショナル・ビア・コンペティション　金賞",257,48
103,ミスティック ピーチ,MYSTIC PEACH,http://www.beer365.net/cache/359c076190191736034a72259d7a0e4a.jpg,2.7,3,3.5,4,4,4,フルーツ・ベジタブル(ハイブリッド),3.70%,,,"ミスティックピーチは、ホワイトビールにピーチ果汁を絶妙にブレンドしたフルーツビールです。
(輸入元: ユーラシア・トレーディング株式会社 より)",,48
104,サントリー クラフトセレクト スペシャルビター,SUNTORY CRAFT SELECT SPECIAL BITTER,http://www.beer365.net/cache/2aae320d4cd2ff72cf8c0508a81c5dc5.png,2.67,3.5,3,3.3,3.5,3.2,ペール・ビター(エール),5%,,サントリービール株式会社(大阪府),"北米産ビターホップ一部使用による“しっかりとした苦味”と、爽やかな香りが特長の希少品種シトラホップを一部使用したレイトホッピング製法※1による“キリッとキレの良い苦味と爽やかな香り”を実現しました。
(オフィシャルサイトより)",126,41
105,横浜 ヴァイツェン,YOKOHAMA WEIZEN,http://www.beer365.net/cache/3f3d946758d1a4b07d52690af3746a13.jpg,2.66,4,4,4,3,3.5,ヴァイツェン・ヴァイス(エール),5.50%,,,"バナナやクローブのような香りが楽しめるフルーティーなビール。横浜ヴァイツェンは、苦味がほとんどなく、普段ビールを飲まない女性の方からの人気も高いビールです。
2008年　インターナショナル・ビア・コンペティション　金賞",,45
106,スプリング バレー コープランド,SPRING VALLEY COPELAND,http://www.beer365.net/cache/4dc4b48db9bcf7ca84630c7565dfdcf2.png,2.66,2,3.5,4,4,4,ピルスナー(ラガー),5.50%,22,,"麦芽の旨味と甘味、ザーツホップの上質な香りと苦味が複雑に調和した、何杯でも飲みたくなる無濾過のピルスナー。一杯目にはもちろん、他のビールを楽しんだ後にもまた無性に飲みたくなる「立ち返る場所」となるビール。
(オフィシャルサイトより)",,11
107,キャプテンクロウ エクストラペールエール,CAPTAIN CROW EXTRA PALE ALE,http://www.beer365.net/cache/32c43a292587425dc1730e54164a4e99.jpg,2.66,3.5,3.5,3.5,3.5,3.5,ペール・ビター(エール),,,OH!LA!HO BEER ビール工場(長野県),"通常の倍以上のホップを使用し、鼻孔にダイレクトに伝わるホップアロマと、飲み心地を邪魔せず２杯目を誘うビターな味わいが特徴になります。
フィルターを使用し濾過を行ったことで、賞味期限の延長と常温保存が可能で、コストパフォーマンスに優れた商品に仕上がりました。
一味違うOH!LA!HO BEERとして、楽しんでいただける事と自負しております。",278,41
108,志賀高原 スモーキー ブラウン,SHIGA KOGEN SMOKY BROWN,http://www.beer365.net/cache/8412777a2a7cae9debf68b1b38718a89.jpg,2.66,4,4,4,3,3.5,ブラウン(エール),6.50%,55,株式会社玉村本店(長野県),"スモークモルトをつかったブラウンエール。
色は、ダークなブラウン。
あの PIZZA PORT とのコラボ、So Sexy Brown での経験も踏まえて、八種類のモルトに加えてオーツ麦もつかったぼくらとしてはかなりモルティな仕上がりの、このビール。
6.5%と、やや高めの度数も相まって、オイリーで複雑な味わい。
とはいえ、やっぱりぼくらのビールですから、アメリカとNZの二つの品種を中心にホップもたっぷりつかってますので、決して甘ったるくはありません。
IBUは55ってところです。
ダークなチョコレートみたいな香りに、ちょっとトロピカルフルーツとかを思わせるホップの印象。そこに、スモークモルトのほのかな香りが加わります。
「ほのかに」と書きましたが、「スモーク」と聞いてイメージするほど、その香りは強くはないです。
でも、逆に飲み飽きしないバランスに仕上がったのではと思うのですが、いかがでしょうか。
もちろんグリルした肉等、料理との相性もいいと思いますし、ホッと落ち着いてビールを味わいたいなんて時にもいいのではと思います。
(オフィシャルブログより)",279,36
109,城端 トロピカルピンク,JOHANA TROPICAL PINK,http://www.beer365.net/cache/e729b99d6a92af0fd84ed65da13d319c.jpg,2.66,3,4,4,3.5,3.5,フルーツ・ベジタブル(ハイブリッド),4.50%,,城端麦酒有限会社(富山県),ピンクグループフルーツを使用したフルーツビール。,200,48
110,ベアード 黒船 ポーター,BAIRD　KUROFUNE PORTER,http://www.beer365.net/cache/29d114720db0782b2d74635035fb9fa2.png,2.66,3,3.5,4,3.5,4,ポーター(エール),6%,35,BAIRD BREWING(静岡県),"「黒船」。19世紀に日本に開国を迫るためにやってきたアメリカの砲艦を日本人は、こう呼んだ。
黒船ポーターは、なめらかで力強いが、口の中にチョコレートやコーヒーのように魅力的なビタースウィートな味わいの余韻を残す。
(オフィシャルサイトより)",222,42
111,グランド キリン 十六夜の月,GRAND KIRIN IZAYOI NO TSUKI,http://www.beer365.net/cache/8b1f63e8b9fa27c74a5aa0fe3c6e6a5b.jpg,2.66,3,3.5,3.2,3.3,3.2,IPA・インディアペール(エール),5.50%,,キリン株式会社(東京都),"中味について
①「ネルソンソーヴィンホップ」を使用
ニュージーランド産ホップ由来のグレープフルーツを思わせるフルーティな香りが特長の希少ホップ「ネルソンソーヴィンホップ」を使用しました。
②「ディップホップ」製法を採用
当社独自の「ディップホップ」製法を採用し、“ビールの魂”と言われるホップを、通常の仕込み段階での使用に加え、発酵過程でもさらに漬け込むことで、複雑な香味を引き出しました。
③「キィウィIPA（インディアペールエール）」スタイルを採用
ニュージーランド（キィウィ）産のホップを大量に漬け込むことで、フルーティな香りと上質な苦味を引き出すビアスタイル「キィウィIPA」を採用しました。
(オフィシャルリリースより)",124,18
112,ベアード 帝国 IPA,BAIRD TEIKOKU IPA,http://www.beer365.net/cache/5c66a7799119dcc5db8f07f6988f3b95.png,2.66,3.8,3.5,3.5,3.2,3.5,IPA・インディアペール(エール),6.50%,55,BAIRD BREWING(静岡県),"英国の伝統を基に醸造された複雑で奥深いニュアンスのインディア・ペールエール。
土と花の香りにあふれているホップの風味とリッチでビスケットのようなモルトの個性。そのバランスが完璧だ。
(オフィシャルサイトより)",222,18
113,サンクトガーレン スイートバニラスタウト,SANKTGALLEN SWEET VANILLA STOUT,http://www.beer365.net/cache/c5a10fd08ff89cc52555a0d0cd74c519.png,2.65,3.2,3.8,3.5,3,3.5,スィート・ミルク・オートミールスタウト(エール),6.40%,24,サンクトガーレン有限会社(神奈川県),"アロマホップの変わりにバニラビーンズで甘い香りを溶け込ませた黒ビールです。
ベースとなる黒ビールは通常より甘めに仕上げ、後味にはチョコレートのような風味が残ります。
ジャパン・アジア・ビアカップ　金、銅賞
インターナショナル・ビア・コンペティション　金、銅賞
モンドセレクション　金、銀、銅賞
2007年　ジャパン・ビア・フェスティバル　来場者人気投票　1位",257,23
114,コエド 紅赤,COEDO BENIAKA,http://www.beer365.net/cache/3d6fa5a267c16d484849aca2a7a99211.png,2.65,3.5,3.5,4,4,3.5,フルーツ・ベジタブル(ハイブリッド),7%,,COEDO(埼玉県),"赤みのある琥珀色、香ばしい甘みが特長のジャパニーズプレミアムラガー(長期熟成)。ビール職人とサツマイモとの出会いから日本独自の発想で生まれました。やや高いアルコール分と豊かなコクとをゆっくりとお楽しみください。
ヨーロピアン・ビアスター・アワード 金、銀賞
2010年　ワールド・ビア・カップ　銀賞
2007-2009年　iTQi　三ツ星　クリスタルテイストアワード
2007年　モンドセレクション　最高金賞",253,48
115,OH! LA! HO ゴールデンエール,OH! LA! HO GOLDEN ALE,http://www.beer365.net/cache/bc514ad07f8051747d3eab04d7779228.jpg,2.64,4,3.2,3.5,3.5,3.5,ブロンド・ゴールデン(エール),,,OH!LA!HO BEER ビール工場(長野県),"淡色麦芽を使用した「黄金色」の上面発酵ビールです。柑橘系のホップの香りに心地良い苦味を効かせました。モルト本来の風味を最大限活かした、本物の味わいを持つオラホ人気No.１ビールです。
インターナショナル・ビア・コンペティション　金、銀、銅賞
ジャパン・アジア・ビアカップ 銀、銅賞
2009年　ジャパン・クラフトビア・セレクション 金賞
2000年 ジャパン・ビア・グランプリ 銀賞",278,39
116,軽井沢高原 セッション IPA 2015,KARUIZAWA KOGEN SESSION IPA 2015,http://www.beer365.net/cache/b4460af9f04c310993b9f8d0b9e6ba9d.jpg,2.63,3.5,4,3.5,4,4,IPA・インディアペール(エール),4.50%,,,"世界中で人気のビアスタイル「インディアペール・エール(IPA)」は、大量に使用したホップの強い苦味と香り、そしてアルコール度数の高さが特徴ですが、「セッションIPA」は、IPAらしいホップの苦味と鮮烈なアロマはそのままに、アルコール度数を下げ飲みやすさを追求した最新のスタイル。
カジュアルにゴクゴクと飲める、夏にぴったりのビールです。",,18
117,丹後王国 メルツェン,TANGO OUKOKU MARZEN,http://www.beer365.net/cache/4424e02553c092c8ae85ba08601d2e20.jpg,2.63,2.5,3,4.5,3,3.5,メルツェン・オクトーバーフェスト(ラガー),5%,,丹後王国「食のみやこ」(京都府),すっきりとした味わいと香ばしさ。,194,17
118,ストーン キャリ-ベルジーク IPA,STONE CALI-BELGIQUE IPA,http://www.beer365.net/cache/f4f3beaa3e49e8266b67bd74decd52dd.png,2.63,3.5,4,3.5,4,4,IPA・インディアペール(エール),6.90%,77,STONE BREWING CO.,"IPAと同じレシピだがイーストだけがベルギー酵母を使っている、飲み比べも面白い！
(輸入元: ナガノトレーディングより)",140,18
119,門司港 ペールエール,MOJIKO PALE ALE,http://www.beer365.net/cache/d08accddb8746391e06966b7bf784bbd.jpg,2.63,3,4,4,2,4,ペール・ビター(エール),,,門司港レトロビール株式会社(福岡県),門司港地ビール工房のペールエールは６種類もの麦芽を惜しげもなく使用しているため、深いこくが身上です。又、ピルスナー・ヴァイツェンには使用されていない３種のホップから気品ある香りと洗練された苦みを楽しむことができます。,178,41
120,ノースアイランド コリアンダーブラック,NORTH ISLAND CORRIANDER BLACK,http://www.beer365.net/cache/9bc335ae6da62a563bf625068569c8d3.jpg,2.63,3,4,4,3,3.5,ハーブ・スパイス(ハイブリッド),5.50%,,ＳＯＣブルーイング株式会社(北海道),"濃厚な黒ビールにコリアンダーを使用。コリアンダーの華やかで爽やかな香りと黒ビールの豊潤で深いコクが見事にマッチした、爽快で味わい深いフレーバービールです。
2008年ジャパン・アジアビアカップ　銀賞",322,47
121,常陸野 ネスト ジャパニーズクラシックエール,HITACHINO JAPANESE CLASSIC ALE,http://www.beer365.net/cache/8a3a8a814a04de06a84fcf14b9c004a8.jpg,2.62,3.5,3.2,3.5,3.5,3.5,IPA・インディアペール(エール),7%,41,木内酒造(茨城県),"かつて日本で初めて醸造されたであろう古のビールを思い描いて醸造した杉樽仕込みのIPA（インディアン・ペール・エール）。
杉の香りと強い苦味が印象的な日本独自のテイストを持ったビールです。",269,18
122,グランド キリン ビタースィート,GRAND KIRIN BITTERSWEET,http://www.beer365.net/cache/b60a73ee7cdcee2cccff70c5661f8950.png,2.61,2.8,3.5,3.5,3.2,3.5,,5.50%,,キリン株式会社(東京都),"麦芽にこだわった、甘く香ばしく薫るグランドキリン。
麦芽の使用方法を工夫することで実現した、香ばしい薫りと優しい甘み。「ディップホップ」製法によって引き出された“アメリカンカスケードホップ”の甘い香りとほのかな苦みが調和し、深みのある香味を実現しました。
ゆっくりと時間をかけて味わっていただきたい、薫り高い深みの一本。
(オフィシャルサイトより)",124,
123,ビアへるん ヴァイツェン,BEER HEARN WEIZEN,http://www.beer365.net/cache/1b5491d05d6c16515d77b7d182de6af3.jpg,2.61,3.5,3.5,4,3.5,3.5,ヴァイツェン・ヴァイス(エール),5%,,島根ビール株式会社(松江堀川・地ビール館内)(島根県),"ドイツ発祥の黄白色の小麦ビール。小麦麦芽ならではのフルーティーな薫りと、クリーミーな泡立ちが特徴です。女性におすすめNo.1！
2006,2007年　インターナショナル・ビアカップ　金賞",174,45
124,梅錦 ブランシュ,UMENISHIKI BLANCHE,http://www.beer365.net/cache/24329d4e81501953c87292df23a34992.jpg,2.61,3.5,3.5,3,3.2,3.2,ベルジャンホワイト・ウィート・ヴィット(エール),5%,,梅錦山川株式会社(愛媛県),"白く霞がかった、かんきつ系の香りが爽やかに広がるホワイトビアです。愛媛県産の伊予柑の皮とスパイスの一種であるコリアンダーが合わさり、類いまれな心地よい香りが生まれました。愛媛県産の麦によるやわらかな口当たりとなめらかなコク。料理を選ばない上品な味わいをお楽しみください。
インターナショナル・ビア・コンペティション　銀、銅賞
ジャパン・アジア・ビアカップ 金、銅賞",176,40
125,日本海倶楽部 アメリカン アロマ ピルス,NIHONKAI CLUB AMERICAN AROMA PILS,http://www.beer365.net/cache/e729b99d6a92af0fd84ed65da13d319c.jpg,2.59,3,3,4,3.5,4,ピルスナー(ラガー),5%,,日本海倶楽部(石川県),限定醸造ビール。,203,11
126,銀河高原 小麦,GINGA KOGEN WHEAT,http://www.beer365.net/cache/a892ce3dbcd28592634ce203f90c1384.jpg,2.59,3.5,4,3.5,4,3.5,ベルジャンホワイト・ウィート・ヴィット(エール),5%,,株式会社銀河高原ビール(岩手県),天然水で仕込み、小麦麦芽を使い、ビール酵母を濾過 (ろか) せずに仕上げた自然志向のビールです。,308,40
127,宮古島 シークァーサー ヴァイツェン,MIYAKOJIMA SHEKWASHA WEIZEN,http://www.beer365.net/cache/2872e0a1cef8dedb51f35d0af72b3cd1.jpg,2.58,2.5,3.5,4,3.5,3.5,フルーツ・ベジタブル(ハイブリッド),,,宮古島マイクロブルワリー(沖縄県),"≪コーラルヴァイツェン≫をベースに県産シークァーサー果汁を使ったフルーツ・フレーバービールです。
沖縄県を代表する柑橘類、シークァーサーは『酢を加える』をあらわす沖縄方言。
（和名はヒラミレモン）
完熟前の青い果実で収穫された強い酸味と爽やかな香りが ヴァイツェンのもつジューシーさを引き立てます。",90,48
128,ベアード ライジング サン ペールエール,BAIRD RISING SUN PALE ALE,http://www.beer365.net/cache/0aa24058984dbea32411b328f7e58f69.png,2.58,3.2,3.5,3.2,2.7,3,ペール・ビター(エール),5.50%,34,BAIRD BREWING(静岡県),"ホップの風味に富んだ、イキイキと爽快なペールエール。
言葉にできないほど複雑で奥が深く、日本の美学の究極の価値「バランス」をしっかりととらえている。
いまでも、あとでも、明日でも、その次の日でも毎日でも飲みあきない理想的なビールである。
(オフィシャルサイトより)",222,41
129,サッポロ プレミアムホワイト 白穂乃香,SAPPORO PREMIUM WHITE SHIRO HONOKA,http://www.beer365.net/cache/19c8f17a4258da020b810928768a5e5f.png,2.57,3.7,2.8,3.2,3.2,3.2,,5%,,,"サッポロビールの技術により、選び抜いた酵母をうまみと一緒にていねいに封じ込めました。活きた酵母が醸し出す華やかな香りと上品なうまみを味わえるビールです。
(オフィシャルサイトより)",,
130,ロコ 佐倉 スチーム,LOCO SAKURA STEAM,http://www.beer365.net/cache/25bac7719b290225a0f6f33169fdfb16.jpg,2.56,3,3.5,4,3,3.5,スティーム・カリフォルニアコモン(ラガー),5%,,合同会社ロコビア(千葉県),「佐倉スチーム」はオリジナルレシピと同様ノーザン・ブルワー・ホップだけを使用。エールにしては低めの醗酵温度とラガーリングの効果によるクリーンな仕上がりに、しっかりと利いたホップの苦みをお楽しみください。,276,6
131,アウトサイダー 井の頭 フラワーエール,OUTSIDER INOKASHIRA FLOWER ALE,http://www.beer365.net/cache/a9c9f0221246b2cf9245bea37accbe90.jpg,2.56,3.5,3.5,3.5,4,4,ペール・ビター(エール),4.50%,,OUTSIDER BREWING(山梨県),"アウトサイダーブルーイングがCRAFT BEER MARKET吉祥寺のオープニングを記念して醸造したビール。
詳細のスタイルは、ベルジャンペールエールとのこと。",236,41
132,常陸野 ネスト アマリロ セッション,HITACHINO NEST AMARILLO SESSION,http://www.beer365.net/cache/0728fe1c2c421d735d844852644093a2.png,2.55,3,3.5,3.5,2.8,3.2,IPA・インディアペール(エール),,,木内酒造(茨城県),"厳選されたペールモルトをベースに、ホップ農家より直送のアマリロホップをふんだんに使用して醸造しました。
柑橘の香りとモルトのコクをお楽しみください。",269,18
133,ヒューガルデン ホワイト,HOEGAARDEN WHITE,http://www.beer365.net/cache/8267d151155ba3a2d64f0bfb171137e2.jpg,2.55,3.8,3.2,3.2,3.5,3.5,ベルジャンホワイト・ウィート・ヴィット(エール),4.90%,,HOEGAARDEN BREWERY (INBEV),"世界各地で愛されているホワイトビールといえば、このヒューガルデン ホワイトです。
小麦を使った淡いイエローのビールは、飲みやすくて、爽やかで、フルーティ。
初めて飲むベルギービールとしてもおすすめです。
(輸入元: アサヒビールより)",41,40
134,ベアード スルガベイ インペリアルIPA,BAIRD SURUGA BAY IMPERIAL IPA,http://www.beer365.net/cache/1739d95555240ab5bdd4e785994e7fd1.png,2.54,4,3.5,3.2,3.2,3.2,ダブル・インペリアルインディアペール(エール),8.50%,90,BAIRD BREWING(静岡県),"非常に複雑だが、バランスのとれたダブルIPAだ。ホールフラワーコーン（生ホップ）で2度ドライホッピングされ、樽（瓶）詰の際にクロイゼンされている。
ホップのキャラクター（苦み、フレーバー、アロマ）は深遠である。私たちの地元駿河湾が深く壮大なように、奥深くインパクトが強い。
(オフィシャルサイトより)",222,29
135,AUGUST IPA,,http://www.beer365.net/cache/32017d1e72456664f821490873f13958.png,2.54,4,4,3.5,3.5,3.5,IPA・インディアペール(エール),7%,,アウグスビール株式会社(東京都),"口に含んだ途端に広がる濁りのない旨みと鮮烈な苦味、そしてそれらを丸く包みこむ華やかな香りが特徴。
三種類のモルトと、四種類のホップを組み合わせた、奥行きのあるしっかりとした飲み口と、クリアな後味に仕上げました。",154,18
136,エチゴ ピルスナー,ECHIGO PILSNER,http://www.beer365.net/cache/b68e4789a2b6fcaaaec45c0e36db23dc.jpg,2.54,3.2,3,3.5,3.5,3.2,ピルスナー(ラガー),5%,16,エチゴビール株式会社(新潟県),ピルスナーのオリジナルホップとされるザーツ産ザーツ種ホップを使用した、麦芽100％プレミアビールです。,291,11
137,常陸野 ネスト だいだいエール,HITACHINO DAiDAi ALE,http://www.beer365.net/cache/613ee19689768cac0b911466809b2f69.jpg,2.53,3.5,3,3.2,3.8,3.5,IPA・インディアペール(エール),6.20%,17,木内酒造(茨城県),"茨城県石岡市八郷の「福来ミカン」と、オレンジ風味のホップで醸造した常陸野ネストDAi DAi（橙）エール。
柑橘系の爽やかな香り、心地よい苦味と旨味の絶妙なバランスをお楽しみ下さい。",269,18
138,猪苗代 ピルスナー,INAWASHIRO PILSNER,http://www.beer365.net/cache/836fa8b6257a92ab3c53af735f617174.jpg,2.52,3,3,4,3.5,3.5,ピルスナー(ラガー),,,親正産業株式会社(福島県),"ビターホップとアロマホップをバランスよくブレンドした喉越し爽やかなビールです。
苦味と炭酸が強く、キレのある味わいはビール党にも支持されています。
2007、2008年　国際ビール大賞　銅賞",288,11
139,ベアード フルーツフル ライフ シトラス IPA,BAIRD FRUITFUL LIFE CITRUS IPA,http://www.beer365.net/cache/e4c80cb363ee9ab99333d2e03fdede40.png,2.52,3.5,4,3.5,3.5,3.5,IPA・インディアペール(エール),7%,65,BAIRD BREWING(静岡県),"柑橘系の個性を持つホップをふんだんに使用したインディアペールエール。今年は、地元産のだいだいとはっさくと夏みかんの3種を加えた。そしてその個性は、弾けるようにいきいきとし、スパイシーで、喉の渇きを最高に癒してくれる。
(オフィシャルサイトより)",222,18
140,箕面 ペールエール,MINOH PALE ALE,http://www.beer365.net/cache/eeb0df4077761e0c6b98e5698b1e5e84.jpg,2.52,4,4,3.5,3.5,3.5,ペール・ビター(エール),5.50%,,箕面ブリュワリー(大阪府),"カスケードホップを贅沢に使用した、柑橘系のアロマが爽やかなアメリカンスタイルのペールエールです。香りと一緒に心地よい苦味を楽しんでもらえる、すっきりとした後味が特徴のビールです。
インターナショナル・ビア・コンペティション　アメリカン・ペールエール部門　銀、銅賞",196,41
141,不知火浪漫 カルメン,SHIRANUI ROMAN CARMEN,http://www.beer365.net/cache/7d2665e91e9f3a99ab2a79e92629e8b3.jpg,2.52,3.5,3,4,3,3.5,アンバー・レッド(エール),5%,,株式会社福田農場ワイナリー(熊本県),"エール麦芽を使用し、ホップの持つ苦味と香りをダイレクトに感じる琥珀色のビール
2004年　インターナショナル・ビア・コンペティション、アメリカンスタイル・アンバーエール部門　銅賞
(オフィシャルサイトより)",134,20
142,牛久シャトー ゴールデンエール,USHIKU CHATEAU GOLDEN ALE,http://www.beer365.net/cache/e729b99d6a92af0fd84ed65da13d319c.jpg,2.52,2.5,2,4.5,4,3,ブロンド・ゴールデン(エール),5%,,牛久ブルワリー (茨城県),清涼感のある黄金色のエールです。 柑橘類や花のような鮮やかな香りとキリッとした苦味でハーブを食べているような爽やかさです。暑い季節に喉の渇きが潤います。クリーンでパワフル、香味バランスがよく飽きの来ない味です。,270,39
143,所沢 ザ ダークホース,TOKOROZAWA THE DARK HORSE,http://www.beer365.net/cache/2a3ae7a51c75e2295ca473ddd2a4c49b.jpg,2.52,3.5,4,3.5,3.5,3.5,ブラックIPA・インディアブラック(エール),5.50%,60,所沢ビール(埼玉県),"パッションフルーツを思わせるほのかなアロマと、キレのある苦みを黒系のビールに融合し、絶妙なバランスで仕上げました。後味にしっかりした苦みのBIPA (black IPA)です。
(オフィシャルサイトより)",119,37
144,コナ ファイヤ ロック ペールエール,KONA FIRE ROCK PALE ALE,http://www.beer365.net/cache/a6ba3c53db5250f7f3d4e5000c8ab39f.png,2.52,3.5,4,3.5,3.5,3.5,ペール・ビター(エール),6%,,KONA BREWING COMPANY,さっぱりとした柑橘の香りと濃厚なコクのある味わいが特長的。甘味も少々あるが最後に来る苦味で引き締まる。,131,41
145,僕ビール、君ビール。よりみち,"BOKU BEER, KIMI BEER",http://www.beer365.net/cache/43f9e2b620b01687e2de6cf1ad6e7ede.jpg,2.52,4,2.5,4,4,3.5,ベルジャンホワイト・ウィート・ヴィット(エール),4.50%,,ヤッホーブルーイング(長野県),"株式会社ヤッホーブルーイングと株式会社ローソンが、共同で開発したオリジナルクラフトビールの第2弾「僕ビール、君ビール。よりみち」
「晴れた日に寄り道したくなる気分」をイメージした、柑橘やパッションフルーツを思わせる香りが特徴のビールです。
(オフィシャルリリースより)",280,40
146,エリシアン デイグロウ IPA,ELYSIAN DAYGLOW IPA,http://www.beer365.net/cache/3538082e14b990c531eecb1504ee8395.png,2.52,3.5,4,3.5,3.5,3.5,IPA・インディアペール(エール),6.50%,65,HYAPPA BREWS(愛知県),"ほんのり香る小麦がまろやかさを加える、爽やかなIPA。 このDayglow IPAにはジューシーなモザイク、エルドラド、センテナルのホップがぎっしりと詰まっている。パイナップルとトロピカルフルーツのアロマとともに。マニックIPAシリーズ。
(輸入元: ビア・キャッツ株式会社より)",47,18
147,シエラ ネバダ トルピード エクストラ IPA,SIERRA NEVADA TORPEDO EXTRA PALE ALE,http://www.beer365.net/cache/94052ea58cfd7e50bc3c90a3a0e88a7c.png,2.52,3.5,3.5,3.5,3.5,4,IPA・インディアペール(エール),7.20%,65,シエラ ネバダ ブルーイング,"2009年より醸造されているアメリカンIPA。自社で開発した「ホップ・トルピード」と名付けたドライホッピング設備により、無駄な苦みを出すことなく、ホップフレイバーと香りを最大限に引き出し、シトラスやグレープフルーツといったトロピカルフルーツのアロマが広がる。最初はスムースにさえ感じられるホッピーさはすぐにスパイシーなシトラスさへと変化を遂げ、続いてフローラルさを感じられる。要冷蔵商品。
●味わい：ホップが生み出すスパイシーさとフローラルさが交錯する刺激的テイスト。
(輸入元: 株式会社ナガノトレーディングより)",28,18
148,ワイマーケット パープル スカイ ペールエール シムコー,Y. MARKET PURPLE SKY PALE ALE SIMCOE VER.,http://www.beer365.net/cache/a924f080c85ad6ce51d6ebcc9fcf349d.jpg,2.51,3,4,3.5,3.5,3.5,ペール・ビター(エール),5.60%,18.4,Y. MARKET BREWING (ワイマーケットブルーイング)(愛知県),"パープルスカイペールエールのコンセプトである「ホッピーだけど苦味控えめでゴクゴク飲める」はそのままに、人気アメリカンホップのSIMCOEをシングルホップで使用し、アレンジしました。SIMCOEホップのシトラス感、ややウッディーでスパイシーなキャラクターを存分にお楽しみください！
(オフィシャルサイトより)",103,41
